Placement,Player,Archetype,Sub
1,Muto B.,Tenpai Dragon,
2,Wheeler C.,White Forest,Azamina
3,Ishtar D.,Tenpai Dragon,
4,Taylor E.,Dragon Link,
5,Devlin F.,Ryzeal,Fiendsmith
6,Bakura G.,Dragon Link,
7,Crawford H.,Voiceless Voice,
8,Valentine I.,Branded Despia,
9,Raptor J.,Fiendsmith,Lightsworn
10,Truesdale K.,Gold Pride,
11,Rhodes L.,Maliss,Argostars
12,Anderson M.,Maliss,Argostars
13,Marufuji N.,Yubel,
14,Yuki O.,Tenpai Dragon,
15,Fudo P.,Branded Despia,
16,Izinski Q.,Maliss,Argostars
17,Atlas R.,Voiceless Voice,
18,Hogan S.,Fiendsmith,Lightsworn
19,Tenjo T.,Maliss,Argostars
20,Kaiba U.,Salamangreat,
21,Muto V.,Maliss,Argostars
22,Wheeler W.,Tenpai Dragon,
23,Ishtar X.,Kashtira,
24,Taylor Y.,Maliss,Argostars
25,Devlin Z.,Tenpai Dragon,
26,Bakura A.,Centur-Ion,
27,Crawford B.,Labrynth,
28,Valentine C.,Ryzeal,Fiendsmith
29,Raptor D.,Mitsurugi,Yummy
30,Truesdale E.,Labrynth,
31,Rhodes F.,Ryzeal,Fiendsmith
32,Anderson G.,Ryzeal,Fiendsmith
33,Marufuji H.,Ryzeal,Fiendsmith
34,Yuki I.,White Forest,Azamina
35,Fudo J.,Ryzeal,Fiendsmith
36,Izinski K.,Ryzeal,Mitsurugi
37,Atlas L.,Labrynth,
38,Hogan M.,Fiendsmith,Lightsworn
39,Tenjo N.,Snake-Eye,Fire King
40,Kaiba O.,Ryzeal,Fiendsmith
41,Muto P.,Mitsurugi,Yummy
42,Wheeler Q.,Ryzeal,Fiendsmith
43,Ishtar R.,Ryzeal,Mitsurugi
44,Taylor S.,Tenpai Dragon,
45,Devlin T.,Traptrix,
46,Bakura U.,Ryzeal,Fiendsmith
47,Crawford V.,Gold Pride,
48,Valentine W.,Snake-Eye,Fire King
49,Raptor X.,Voiceless Voice,
50,Truesdale Y.,White Forest,Azamina
51,Rhodes Z.,Melodious,
52,Anderson A.,Ryzeal,Mitsurugi
53,Marufuji B.,Ryzeal,Mitsurugi
54,Yuki C.,Snake-Eye,Fire King
55,Fudo D.,Runick Stun,
56,Izinski E.,White Forest,Azamina
57,Atlas F.,Fiendsmith,Lightsworn
58,Hogan G.,Fiendsmith,Lightsworn
59,Tenjo H.,Centur-Ion,
60,Kaiba I.,Yubel,
61,Muto J.,Blue-Eyes,
62,Wheeler K.,Mitsurugi,Yummy
63,Ishtar L.,Blue-Eyes,
64,Taylor M.,Traptrix,
